checkpoint,architecture,layer,head,learned_bias,fixed_config_bias,total_zero_input_logit,gamma_zero_input,one_minus_gamma,half_life_tokens,efold_tokens,weight_l2,weight_rms,input_dim,parameter
repl_seed2_polar,polar,10,2,-0.6095970869064331,3.9,3.290402913093567,0.9640981027364982,0.03590189726350178,18.9580151154754,27.350634392194372,3.5138540267944336,0.10980793833732605,1024,blocks.10.attn.mem.w_gamma
repl_seed2_polar,polar,10,3,-2.106459140777588,3.9,1.793540859222412,0.8573608477842933,0.14263915221570672,4.503985971995494,6.497878226031357,2.797966718673706,0.08743645995855331,1024,blocks.10.attn.mem.w_gamma
repl_seed2_polar,polar,10,4,-0.6457020044326782,3.9,3.2542979955673217,0.9628272483235795,0.037172751676420555,18.297885408595228,26.39826853773486,2.348726272583008,0.073397696018219,1024,blocks.10.attn.mem.w_gamma
repl_seed2_polar,polar,10,5,1.1194779872894287,3.9,5.019477987289429,0.9934354034354469,0.0065645965645530985,105.24174038096928,151.83173694214815,3.858966588973999,0.12059269845485687,1024,blocks.10.attn.mem.w_gamma
repl_seed2_polar,polar,10,6,-1.528706431388855,3.9,2.371293568611145,0.9146119385129153,0.0853880614870847,7.7658838268423995,11.203802085105336,2.1635570526123047,0.06761115044355392,1024,blocks.10.attn.mem.w_gamma
repl_seed2_polar,polar,10,7,-0.3602004051208496,3.9,3.5397995948791503,0.9717992203474461,0.028200779652553846,24.230781793313877,34.957628730076515,2.7143502235412598,0.08482345193624496,1024,blocks.10.attn.mem.w_gamma
repl_seed2_polar,polar,14,0,1.2596909999847412,3.9,5.159690999984742,0.9942893249693052,0.005710675030694781,121.03054692596461,174.61016984616813,3.605308771133423,0.11266589909791946,1024,blocks.14.attn.mem.w_gamma
repl_seed2_polar,polar,14,1,0.45189017057418823,3.9,4.351890170574189,0.9872814069609356,0.012718593039064433,54.15141803139453,78.12398225099808,3.0289077758789062,0.09465335309505463,1024,blocks.14.attn.mem.w_gamma
repl_seed2_polar,polar,14,2,-0.2708658277988434,3.9,3.6291341722011565,0.9741469648498282,0.025853035150171816,26.462969739715795,38.17799521068268,3.3484983444213867,0.10464058071374893,1024,blocks.14.attn.mem.w_gamma
repl_seed2_polar,polar,14,3,-0.9527873992919922,3.9,2.9472126007080077,0.9501315827065859,0.049868417293414034,13.549994068316089,19.54850924643449,3.346389055252075,0.10457465797662735,1024,blocks.14.attn.mem.w_gamma
repl_seed2_polar,polar,14,4,0.9974974393844604,3.9,4.897497439384461,0.9925900749490514,0.00740992505094866,93.19607258172424,134.45351174398144,3.8820557594299316,0.12131423503160477,1024,blocks.14.attn.mem.w_gamma
repl_seed2_polar,polar,14,5,0.6440364122390747,3.9,4.544036412239075,0.9894814058633354,0.01051859413666452,65.55013721086212,94.56885788370188,3.3508846759796143,0.10471515357494354,1024,blocks.14.attn.mem.w_gamma
repl_seed2_polar,polar,14,6,-1.3039252758026123,3.9,2.5960747241973876,0.9306085279332531,0.06939147206674692,9.638211688533445,13.905000206085244,2.0571236610412598,0.06428511440753937,1024,blocks.14.attn.mem.w_gamma
repl_seed2_polar,polar,14,7,-0.5696061253547668,3.9,3.330393874645233,0.9654569077892088,0.034543092210791215,19.71755488513808,28.446418651244663,2.412569046020508,0.07539278268814087,1024,blocks.14.attn.mem.w_gamma
repl_seed2_polar,polar,2,0,-1.9914319515228271,3.9,1.9085680484771728,0.8708581900715064,0.12914180992849353,5.012775449924971,7.2319062826966976,1.462788462638855,0.04571213573217392,1024,blocks.2.attn.mem.w_gamma
repl_seed2_polar,polar,2,1,0.6907906532287598,3.9,4.59079065322876,0.9899570499074031,0.010042950092596951,68.67112726214712,99.07149475335456,2.826131820678711,0.08831661939620972,1024,blocks.2.attn.mem.w_gamma
repl_seed2_polar,polar,2,2,-0.7199671268463135,3.9,3.1800328731536864,0.9600759260988995,0.03992407390110054,17.01270761571307,24.544148909283148,1.1576861143112183,0.03617769107222557,1024,blocks.2.attn.mem.w_gamma
repl_seed2_polar,polar,2,3,0.24797460436820984,3.9,4.14797460436821,0.9844492672317274,0.015550732768272546,44.225802054085975,63.80434530276678,1.8536326885223389,0.05792602151632309,1024,blocks.2.attn.mem.w_gamma
repl_seed2_polar,polar,2,4,-0.11012468487024307,3.9,3.789875315129757,0.9779009834860932,0.022099016513906777,31.017657249461603,44.749020293791865,1.6267578601837158,0.05083618313074112,1024,blocks.2.attn.mem.w_gamma
repl_seed2_polar,polar,2,5,-1.3964992761611938,3.9,2.503500723838806,0.9243868696296466,0.07561313037035344,8.815906693816151,12.718664868108378,1.3665714263916016,0.04270535707473755,1024,blocks.2.attn.mem.w_gamma
repl_seed2_polar,polar,2,6,-1.580608606338501,3.9,2.319391393661499,0.9104703430617923,0.08952965693820766,7.3901052483383936,10.661668193425301,1.540981650352478,0.04815567284822464,1024,blocks.2.attn.mem.w_gamma
repl_seed2_polar,polar,2,7,0.4486652612686157,3.9,4.348665261268616,0.9872408486218543,0.012759151378145688,53.978177020125806,77.8740483031621,1.7008339166641235,0.05315106362104416,1024,blocks.2.attn.mem.w_gamma
