checkpoint,architecture,layer,head,learned_bias,fixed_config_bias,total_zero_input_logit,gamma_zero_input,one_minus_gamma,half_life_tokens,efold_tokens,weight_l2,weight_rms,input_dim,parameter
atma-10b-L40S-mbs4-nope__reg-baseline__distr-0__mem-1__win-0,nope,6,3,-1.7632503509521484,3.9,2.1367496490478515,0.8944240742302335,0.10557592576976653,6.21237341133504,8.962560312683514,2.4670333862304688,0.07709479331970215,1024,blocks.6.attn.mem.w_gamma
atma-10b-L40S-mbs4-nope__reg-baseline__distr-0__mem-1__win-0,nope,6,4,0.9861929416656494,3.9,4.88619294166565,0.9925064654765743,0.007493534523425668,92.15235634117658,132.94774749964807,4.239747047424316,0.1324920803308487,1024,blocks.6.attn.mem.w_gamma
atma-10b-L40S-mbs4-nope__reg-baseline__distr-0__mem-1__win-0,nope,6,5,0.3221350312232971,3.9,4.2221350312232975,0.9855447238952311,0.01445527610476888,47.60374003771774,68.67767968018278,3.219161033630371,0.1005987823009491,1024,blocks.6.attn.mem.w_gamma
atma-10b-L40S-mbs4-nope__reg-baseline__distr-0__mem-1__win-0,nope,6,6,-1.3258668184280396,3.9,2.5741331815719604,0.9291781674195669,0.07082183258043309,9.436380216176067,13.613818941819938,2.4005439281463623,0.07501699030399323,1024,blocks.6.attn.mem.w_gamma
atma-10b-L40S-mbs4-nope__reg-baseline__distr-0__mem-1__win-0,nope,6,7,-0.762590765953064,3.9,3.137409234046936,0.9584097339892,0.0415902660107999,16.31706428977683,23.54054773272743,3.0459179878234863,0.09518492966890335,1024,blocks.6.attn.mem.w_gamma
atma-10b-L40S-mbs16-polar__reg-baseline__distr-0__mem-1__win-0,polar,10,0,0.9820329546928406,3.9,4.882032954692841,0.9924754625919382,0.007524537408061763,91.77123514463628,132.39790583942172,3.475360155105591,0.10860501974821091,1024,blocks.10.attn.mem.w_gamma
atma-10b-L40S-mbs16-polar__reg-baseline__distr-0__mem-1__win-0,polar,10,1,1.6040821075439453,3.9,5.504082107543946,0.9959463759458665,0.004053624054133427,170.64763313260417,246.1924940598472,5.0760345458984375,0.15862609446048737,1024,blocks.10.attn.mem.w_gamma
atma-10b-L40S-mbs16-polar__reg-baseline__distr-0__mem-1__win-0,polar,10,2,-1.240723729133606,3.9,2.659276270866394,0.9345804317995773,0.06541956820042266,10.244929163770392,14.78030849883026,2.6027472019195557,0.08133585005998611,1024,blocks.10.attn.mem.w_gamma
atma-10b-L40S-mbs16-polar__reg-baseline__distr-0__mem-1__win-0,polar,10,3,-0.8046064376831055,3.9,3.0953935623168944,0.9567023336086694,0.04329766639133054,15.65975057223388,22.592244492119928,3.1748926639556885,0.09921539574861526,1024,blocks.10.attn.mem.w_gamma
atma-10b-L40S-mbs16-polar__reg-baseline__distr-0__mem-1__win-0,polar,10,4,-0.007220609113574028,3.9,3.892779390886426,0.9800187895669151,0.019981210433084835,34.34221005532097,49.54533613997866,3.5653085708618164,0.11141589283943176,1024,blocks.10.attn.mem.w_gamma
atma-10b-L40S-mbs16-polar__reg-baseline__distr-0__mem-1__win-0,polar,10,5,1.2801458835601807,3.9,5.180145883560181,0.9944043025863403,0.005595697413659774,123.52455731600958,178.20826626781155,4.552974224090576,0.1422804445028305,1024,blocks.10.attn.mem.w_gamma
atma-10b-L40S-mbs16-polar__reg-baseline__distr-0__mem-1__win-0,polar,10,6,1.145615816116333,3.9,5.045615816116333,0.9936036814377837,0.006396318562216396,108.0196378495995,155.83939584423896,3.6542484760284424,0.11419526487588882,1024,blocks.10.attn.mem.w_gamma
atma-10b-L40S-mbs16-polar__reg-baseline__distr-0__mem-1__win-0,polar,10,7,-0.8756077289581299,3.9,3.02439227104187,0.9536640026359663,0.046335997364033744,14.609837031180243,21.07753943307967,3.001408815383911,0.09379403293132782,1024,blocks.10.attn.mem.w_gamma
atma-10b-L40S-mbs16-polar__reg-baseline__distr-0__mem-1__win-0,polar,14,0,-0.6007947325706482,3.9,3.2992052674293517,0.9644015366620167,0.03559846333798331,19.122599606500014,27.588079621202816,2.672287702560425,0.08350899815559387,1024,blocks.14.attn.mem.w_gamma
atma-10b-L40S-mbs16-polar__reg-baseline__distr-0__mem-1__win-0,polar,14,1,1.1717329025268555,3.9,5.071732902526856,0.9937675443654097,0.006232455634590285,110.86880771218415,159.94987907564013,3.429286479949951,0.10716520249843597,1024,blocks.14.attn.mem.w_gamma
atma-10b-L40S-mbs16-polar__reg-baseline__distr-0__mem-1__win-0,polar,14,2,1.1028741598129272,3.9,5.002874159812928,0.9933262295867173,0.006673770413282709,103.51444594276134,149.33977782199048,3.586459159851074,0.11207684874534607,1024,blocks.14.attn.mem.w_gamma
atma-10b-L40S-mbs16-polar__reg-baseline__distr-0__mem-1__win-0,polar,14,3,0.09063462167978287,3.9,3.990634621679783,0.9818476232094127,0.018152376790587305,37.83729514612931,54.587678067972796,2.981510639190674,0.09317220747470856,1024,blocks.14.attn.mem.w_gamma
atma-10b-L40S-mbs16-polar__reg-baseline__distr-0__mem-1__win-0,polar,14,4,-0.7634150385856628,3.9,3.136584961414337,0.9583768656393219,0.04162313436067806,16.303901672806383,23.521558090499045,2.2363553047180176,0.06988610327243805,1024,blocks.14.attn.mem.w_gamma
atma-10b-L40S-mbs16-polar__reg-baseline__distr-0__mem-1__win-0,polar,14,5,1.3976235389709473,3.9,5.297623538970948,0.9950214397369647,0.0049785602630353564,138.8795698456272,200.36086669707882,3.7159438133239746,0.1161232516169548,1024,blocks.14.attn.mem.w_gamma
atma-10b-L40S-mbs16-polar__reg-baseline__distr-0__mem-1__win-0,polar,14,6,-0.8337101936340332,3.9,3.0662898063659667,0.95548061682888,0.04451938317111998,15.220355356889845,21.95833119395275,2.8383328914642334,0.0886978954076767,1024,blocks.14.attn.mem.w_gamma
atma-10b-L40S-mbs16-polar__reg-baseline__distr-0__mem-1__win-0,polar,14,7,-1.7148010730743408,3.9,2.185198926925659,0.8989124732827437,0.1010875267172563,6.504173045928082,9.383538198444109,2.7535293102264404,0.08604779094457626,1024,blocks.14.attn.mem.w_gamma
